id,target,context
1223,tetrahedral,C02
1224,zeolite,C02
1225,zeolite material,C02
1226,zeolites,C02
1227,aluminium,G03
1228,aluminium silicate properties,G03
1229,aluminium table,G03
1230,aluminosilicate,G03
1231,aluminosilicate zeolites,G03
1232,cable silica,G03
1233,containing zeolites,G03
1234,crystalline alumino silicates,G03
1235,example,G03
1236,glass,G03
1237,hydrated aluminum silicates,G03
1238,hydrous silicates,G03
1239,minerals,G03
1240,oxide,G03
1241,oxides,G03
1242,oxides containing,G03
1243,oxides containing zeolites,G03
1244,oxides materials,G03
1245,oxides which zeolites,G03
1246,parallel configuration,G03
1247,refractory silicates,G03
1248,rock layer,G03
1249,rubber and paint,G03
1250,silica aluminas,G03
1251,silicate,G03
1252,silicate zeolites,G03
1253,silicates,G03
1254,silicoaluminates,G03
1255,silicon,G03
1256,sodium aluminum silicates,G03
1257,tensile strength,G03
1258,thermal conductivity,G03
1259,top layer,G03
1260,zeolites,G03
1261,ammonia,C01
1262,ammonia concentration,C01
1263,ammonia extraction,C01
1264,ammonia poisoning,C01
1265,ammonia recovery plant,C01
1266,ammonia separation,C01
1267,ammonia solution concentration,C01
1268,ammonia solution recovery,C01
1269,ammoniacal liquor,C01
1270,ammonium concentration,C01
1271,ammonium recovery,C01
1272,aqueous ammonia concentration,C01
1273,aqueous ammonia recovery,C01
1274,aqueous solution concentration,C01
1275,aqueous solution recovery,C01
1276,bipolar membrane electrodialysis,C01
1277,electrodialysis,C01
1278,evaporation,C01
1279,hydrogen recovery,C01
1280,hyperammonemia,C01
1281,metal extraction,C01
1282,nh3 recovery,C01
1283,nitrogen compounds preparation,C01
1284,nitrogen purification,C01
1285,nitrogen recovery,C01
1286,nitrogen removal,C01
1287,nitrogen separation,C01
1288,obtain nh3,C01
1289,obtain solution,C01
1290,polyatomic cations,C01
1291,protonation of ammonia,C01
1292,purification,C01
1293,recovering ammonia,C01
1294,recovering of ammonia,C01
1295,recovering of water,C01
1296,recovering recovery,C01
1297,recovering recovery ammonia,C01
1298,recovering recovery water,C01
1299,recovery,C01
1300,recovery ammonia,C01
1301,recovery from injury,C01
1302,recovery of ammonia,C01
1303,recovery of water,C01
1304,recovery water,C01
1305,recycling process,C01
1306,separation,C01
1307,solvay process,C01
1308,speedy recovery,C01
1309,syngas recovery,C01
1310,syngas removal,C01
1311,tooth extraction,C01
1312,alloy separation,C10
1313,aluminium separation,C10
1314,ammonia from wastewater,C10
1315,ammonia gas recovery,C10
1316,ammonia production,C10
1317,ammonia recover,C10
1318,ammonia recovery process,C10
1319,ammonia recovery tower,C10
1320,ammoniacal liquor preparation,C10
1321,ammonium gas recovery,C10
1322,ammonium recover,C10
1323,ammonium recovery,C10
1324,azane separation,C10
1325,binary hydride,C10
1326,chemical extraction,C10
1327,colourless gas,C10
1328,distillation process,C10
1329,froth separation,C10
1330,gas recovery,C10
1331,nh3 recovery,C10
1332,nitrogenous waste,C10
1333,recovery,C10
1334,recovery of money,C10
1335,recovery of password,C10
1336,recovery of vehicle,C10
1337,regenerate hydrogen nitride,C10
1338,separation,C10
1339,solvay process,C10
1340,sour removal,C10
1341,sour shift,C10
1342,sweet shift,C10
1343,urea recovery,C10
1344,agonists,C07
1345,androgen deprivation,C07
1346,androgen independent,C07
1347,androgen receptor ligands,C07
1348,androgenic drugs,C07
1349,ar agonists,C07
1350,bind to androgen receptor,C07
1351,chelating ligand,C07
1352,coordination ligand,C07
1353,described below,C07
1354,dirt receptor,C07
1355,enobosarm,C07
1356,estrogen receptor modulators,C07
1357,follows,C07
1358,hormone,C07
1359,inhibitors,C07
1360,mediator,C07
1361,modular protein,C07
1362,modulators,C07
1363,pharmacological treatment,C07
1364,receptor,C07
1365,receptor modulators,C07
1366,running track,C07
1367,sarms,C07
1368,selective androgen,C07
1369,selective androgen receptor modulators,C07
1370,selective estrogen receptor modulators,C07
1371,sports club,C07
1372,steroides,C07
1373,testosterone receptor modulators,C07
1374,therapeutics,C07
1375,angular ball bearing,B23
1376,angular contact ball bearing,B23
1377,angular contact bearing,B23
1378,angular eye disease,B23
1379,angular webpack,B23
1380,axial angular contact bearing,B23
1381,bearing joints,B23
1382,bearing systems,B23
1383,ceramic sputtering target,B23
1384,contact lens,B23
1385,contact therapy radiation,B23
1386,contact tracing,B23
1387,cylindrical roller,B23
1388,electromotive iron material cutter,B23
1389,load bearings,B23
1390,machine elements,B23
1391,molten solder applicating apparatus,B23
1392,outer ring race,B23
1393,radial angular contact bearing,B23
1394,roller bearing,B23
1395,rolling element bearings,B23
1396,angular contact ball bearing,B61
1397,angular bearing,C21
1398,angular contact ball bearing,F16
1399,angular contact bearing,F16
1400,ball bearing,F16
1401,bearing system,F16
1402,contact network,F16
1403,contact number,F16
1404,contact type programming,F16
1405,damping element,F16
1406,double row angular contact bearing,F16
1407,dual angular contact bearing,F16
1408,electric generators,F16
1409,gear shift cable,F16
1410,needle bearing,F16
1411,non contact programming,F16
1412,outer bearing,F16
1413,pain bearing,F16
1414,rotator,F16
1415,sealing of pistons,F16
1416,spherical roller bearing,F16
1417,steal balls,F16
1418,vehicle,F16
1419,angular bearing,F42
1420,angular contact,F42
1421,angular contact assembly,F42
1422,bearing,F42
1423,inner element,F42
1424,inner ring,F42
1425,outer element,F42
1426,outer ring,F42
1427,plurality element rolling,F42
1428,plurality of elements,F42
1429,plurality of rolling,F42
1430,plurality of rolling elements,F42
1431,set element rolling,F42
1432,set of elements,F42
1433,set of rolling,F42
1434,set of rolling elements,F42
1435,angle bearing,G01
1436,angle contact bearing,G01
1437,angle contact bearings,G01
1438,angled bearing,G01
1439,angled contact bearing,G01
1440,angled contact bearings,G01
1441,angular ball bearing,G01
1442,angular bearing,G01
1443,angular contact,G01
1444,angular contact bearings,G01
1445,bearing,G01
1446,embodiment angle bearing,G01
1447,embodiment angle contact bearing,G01
1448,embodiment angle contact bearings,G01
1449,embodiment angular bearing,G01
1450,embodiment angular contact bearing,G01
1451,embodiment angular contact bearings,G01
1452,thrust bearing,G01
1453,adipose tissue,A23
1454,animal,A23
1455,animal by products,A23
1456,animal cage,A23
1457,animal dairy product,A23
1458,animal essential fatty acids,A23
1459,animal ester of fatty acids,A23
1460,animal fats and oils,A23
1461,animal house,A23
1462,animal oils,A23
1463,animal triglycerides,A23
1464,animal zoo,A23
1465,consist of animal fats,A23
1466,fat cells,A23
1467,fat removal surgery,A23
1468,fatigue strength,A23
1469,fats,A23
1470,inedible fats,A23
1471,lipid profile,A23
1472,liver metabolism,A23
1473,made of triglycerides,A23
1474,palmitic acid,A23
1475,pest animals,A23
1476,vegetable fats,A23
1477,waxes,A23
1478,animal cage,C10
1479,animal care,C10
1480,animal lipid,C10
1481,animal lipids,C10
1482,animal oils,C10
1483,biochemical mechanisms,C10
1484,biomass,C10
1485,burning fats,C10
1486,dietary fat,C10
1487,ester of fatty acids,C10
1488,fat molecules,C10
1489,fat people,C10
1490,fat person,C10
1491,fats,C10
1492,fatty tissue,C10
1493,fish oils,C10
1494,lubricating oils,C10
1495,milk fats,C10
1496,nutrient in food,C10
1497,oil,C10
1498,oils,C10
1499,pet animal,C10
1500,petroleum oils,C10
1501,rendered fats,C10
1502,saturated fats,C10
1503,triglycerides from animals,C10
1504,vegetable fats,C10
1505,vegetable oils,C10
1506,waxes,C10
1507,acid fats,C11
1508,animal fat,C11
1509,animal vegetable fat,C11
1510,animal vegetable fats,C11
1511,components,C11
1512,consist of animal fats,C11
1513,fat,C11
1514,fats,C11
1515,fatty acid fats,C11
1516,fatty fats,C11
1517,fish fat,C11
1518,fish fats,C11
1519,greases,C11
1520,hydrogenated animal fat,C11
1521,hydrogenated animal fats,C11
1522,hydrogenated vegetable fat,C11
1523,hydrogenated vegetable fats,C11
1524,natural fat,C11
1525,natural fats,C11
1526,products,C11
1527,vegetable fat,C11
1528,vegetable fats,C11
1529,annual plants,B60
1530,annual review,B60
1531,annular eclipse,B60
1532,annular ends,B60
1533,annular ulcer,B60
1534,automatic steering vehicle,B60
1535,blood tube end,B60
1536,circular ends,B60
1537,corresponding axial ends,B60
1538,cylindrical flanges,B60
1539,cylindrical segments,B60
1540,disc shaped ends,B60
1541,end edges,B60
1542,endnote,B60
1543,ends edges,B60
1544,extending,B60
1545,flanges,B60
1546,fuel tanks,B60
1547,inner edges,B60
1548,outer circular surfaces,B60
1549,plates,B60
1550,projecting annular flanges,B60
1551,ring shaped ends,B60
1552,rings,B60
1553,segments,B60
1554,shoulders,B60
1555,tire changer,B60
1556,tubular segments,B60
1557,annular,B29
1558,annular ligament,B29
1559,annular neck,B29
1560,annular neck portion,B29
1561,annular plaques,B29
1562,annular rearward transition,B29
1563,annular rearward wall,B29
1564,annular sleeve,B29
1565,annular solar eclipse,B29
1566,annular thickening xylem,B29
1567,annular transition,B29
1568,annulated neck,B29
1569,axially rearward transition,B29
1570,axially rearward wall,B29
1571,bottle cap,B29
1572,circular neck,B29
1573,collagen casing,B29
1574,fluid impermeable shell,B29
1575,intermediate neck,B29
1576,intermediate transition,B29
1577,lining high pressure pipeline,B29
1578,neck,B29
1579,neck glands,B29
1580,recess,B29
1581,rectangular neck,B29
1582,ring shaped neck,B29
1583,rounded neck,B29
1584,tie filament,B29
1585,annual neck,B65
1586,annular flange,B65
1587,aperture,B65
1588,neck,B65
1589,opening,B65
1590,annular element,F02
1591,annular portion,F02
1592,annular sleeve,F02
1593,annular tube,F02
1594,end element,F02
1595,end portion,F02
1596,extension,F02
1597,insert,F02
1598,integral sleeve,F02
1599,integral tube,F02
1600,annular lip,G04
1601,annular neck portion,G04
1602,annular retaining shoulder,G04
1603,circular device,G04
1604,circumferential shape,G04
1605,extending tubular projection,G04
1606,gold ring,G04
1607,inner annular bead,G04
1608,neck,G04
1609,neck ring,G04
1610,neck warmer,G04
1611,outer annular skirt,G04
1612,projecting annular ring,G04
1613,ring,G04
1614,ring light,G04
1615,ring shaped neck,G04
1616,ringtone,G04
1617,shape factor,G04
1618,target area,G04
1619,aesthetic,C07
1620,analgesic,C07
1621,anesthesia,C07
1622,antidiabetic,C07
1623,antihypertensive,C07
1624,arteriosclerosis,C07
1625,artery walls,C07
1626,blood vessel,C07
1627,cholesterol accumulation inhibition,C07
1628,cholesterol accumulation suppression,C07
1629,cholesterol antidiabetic,C07
1630,cholesterol deposition inhibition,C07
1631,cholesterol lowering,C07
1632,cholesterol lowering medication,C07
1633,dose,C07
1634,dust accumulation,C07
1635,ear waxy substance,C07
1636,endothelial cell injury,C07
1637,hair wax,C07
1638,heart problem,C07
1639,hypoglycemic,C07
1640,hypoglycemic agents,C07
1641,inhibitory,C07
1642,lipid antidiabetic,C07
1643,lipid deposition prohibition,C07
1644,lipid lowering,C07
1645,metal deposition,C07
1646,reduce arteries hardening,C07
1647,reduce arteries thickening,C07
1648,statins,C07
1649,waxy deposition inhibition,C07
1650,adh hormone,C07
1651,amino acid peptide,C07
1652,antivirus,C07
1653,biological,C07
1654,coagulant,C07
1655,control blood pressure,C07
1656,diuretic,C07
1657,drug reduce the urination,C07
1658,electrolyte,C07
1659,hormones,C07
1660,hypotensive,C07
1661,lithium,C07
1662,natriuretic,C07
1663,opposing action,C07
1664,opposing diuresis,C07
1665,opposing party,C07
1666,oxytocin hormone,C07
1667,pharmacological,C07
1668,renal diseases,C07
1669,urine volume,C07
1670,vasodilator,C07
1671,vasopressin,C07
1672,vasopressin hormone,C07
1673,vigorously oppose,C07
1674,ag composition,A61
1675,amino acid sequence,A61
1676,antibodies,A61
1677,antigen,A61
1678,antigen fragment,A61
1679,antigen immunogen,A61
1680,antigen portion,A61
1681,antigen presenting cell,A61
1682,antigen rapid test,A61
1683,antigen specific,A61
1684,antigenic,A61
1685,antigenic immunogen,A61
1686,antigenic polypeptide,A61
1687,antigens,A61
1688,b cell antigen receptor,A61
1689,blood composition,A61
1690,composition of local anesthesia,A61
1691,composition of ors,A61
1692,essay composition,A61
1693,fragment,A61
1694,fragment antigen,A61
1695,fragment immunogen,A61
1696,immune response,A61
1697,immunogen,A61
